TABLE_NAME	COLUMN_NAME	DATA_TYPE	COLUMN_KEY	EXTRA
phones	old_messages	int		
phones	protocol	enum		
phones	local_gmt	varchar		
phones	ASTmgrUSERNAME	varchar		
phones	ASTmgrSECRET	varchar		
phones	login_user	varchar		
phones	login_pass	varchar		
phones	login_campaign	varchar		
phones	park_on_extension	varchar		
phones	conf_on_extension	varchar		
phones	VICIDIAL_park_on_extension	varchar		
phones	VICIDIAL_park_on_filename	varchar		
phones	monitor_prefix	varchar		
phones	recording_exten	varchar		
phones	voicemail_exten	varchar		
phones	voicemail_dump_exten	varchar		
phones	ext_context	varchar		
phones	dtmf_send_extension	varchar		
phones	call_out_number_group	varchar		
phones	client_browser	varchar		
phones	install_directory	varchar		
phones	local_web_callerID_URL	varchar		
phones	VICIDIAL_web_URL	varchar		
phones	AGI_call_logging_enabled	enum		
phones	user_switching_enabled	enum		
phones	conferencing_enabled	enum		
phones	admin_hangup_enabled	enum		
phones	admin_hijack_enabled	enum		
phones	admin_monitor_enabled	enum		
phones	call_parking_enabled	enum		
phones	updater_check_enabled	enum		
phones	AFLogging_enabled	enum		
phones	QUEUE_ACTION_enabled	enum		
phones	CallerID_popup_enabled	enum		
phones	voicemail_button_enabled	enum		
phones	enable_fast_refresh	enum		
phones	fast_refresh_rate	int		
phones	enable_persistant_mysql	enum		
phones	auto_dial_next_number	enum		
phones	VDstop_rec_after_each_call	enum		
phones	DBX_server	varchar		
phones	DBX_database	varchar		
phones	DBX_user	varchar		
phones	DBX_pass	varchar		
phones	DBX_port	int		
phones	DBY_server	varchar		
phones	DBY_database	varchar		
phones	DBY_user	varchar		
phones	DBY_pass	varchar		
phones	DBY_port	int		
phones	outbound_cid	varchar		
phones	enable_sipsak_messages	enum		
phones	email	varchar		
phones	template_id	varchar		
phones	conf_override	text		
phones	phone_context	varchar		
phones	phone_ring_timeout	smallint		
phones	conf_secret	varchar		
phones	delete_vm_after_email	enum		
phones	is_webphone	enum		
phones	use_external_server_ip	enum		
phones	codecs_list	varchar		
phones	codecs_with_template	enum		
phones	webphone_dialpad	enum		
phones	on_hook_agent	enum		
phones	webphone_auto_answer	enum		
phones	voicemail_timezone	varchar		
phones	voicemail_options	varchar		
phones	user_group	varchar		
phones	voicemail_greeting	varchar		
phones	voicemail_dump_exten_no_inst	varchar		
phones	voicemail_instructions	enum		
phones	on_login_report	enum		
phones	unavail_dialplan_fwd_exten	varchar		
phones	unavail_dialplan_fwd_context	varchar		
phones	nva_call_url	text		
phones	nva_search_method	varchar		
phones	nva_error_filename	varchar		
phones	nva_new_list_id	bigint		
phones	nva_new_phone_code	varchar		
phones	nva_new_status	varchar		
phones	webphone_dialbox	enum		
phones	webphone_mute	enum		
phones	webphone_volume	enum		
phones	webphone_debug	enum		
phones	outbound_alt_cid	varchar		
phones	conf_qualify	enum		
phones	webphone_layout	varchar		
phones	mohsuggest	varchar		
phones	peer_status	enum		
phones	ping_time	smallint		
phones	webphone_settings	varchar		
phones_alias	alias_id	varchar	PRI	
phones_alias	alias_name	varchar		
phones_alias	logins_list	varchar		
phones_alias	user_group	varchar		
quality_control_checkpoint_log	qc_checkpoint_log_id	int	PRI	auto_increment
quality_control_checkpoint_log	qc_log_id	int		
quality_control_checkpoint_log	campaign_id	varchar		
quality_control_checkpoint_log	group_id	varchar		
quality_control_checkpoint_log	list_id	bigint		
quality_control_checkpoint_log	qc_scorecard_id	varchar		
quality_control_checkpoint_log	checkpoint_row_id	int		
quality_control_checkpoint_log	checkpoint_text	text		
quality_control_checkpoint_log	checkpoint_text_presets	text		
quality_control_checkpoint_log	checkpoint_rank	tinyint		
quality_control_checkpoint_log	checkpoint_points	tinyint		
quality_control_checkpoint_log	instant_fail	enum		
quality_control_checkpoint_log	instant_fail_value	enum		
quality_control_checkpoint_log	checkpoint_points_earned	tinyint		
quality_control_checkpoint_log	qc_agent	varchar		
quality_control_checkpoint_log	checkpoint_comment_agent	text		
quality_control_checkpoints	checkpoint_row_id	int	PRI	auto_increment
quality_control_checkpoints	qc_scorecard_id	varchar		
quality_control_checkpoints	checkpoint_text	text		
quality_control_checkpoints	checkpoint_text_presets	text		
quality_control_checkpoints	checkpoint_rank	int		
quality_control_checkpoints	checkpoint_points	tinyint		
quality_control_checkpoints	instant_fail	enum		
quality_control_checkpoints	admin_notes	text		
quality_control_checkpoints	active	enum		
quality_control_checkpoints	campaign_ids	text		
quality_control_checkpoints	ingroups	text		
quality_control_checkpoints	list_ids	text		
quality_control_checkpoints	create_date	datetime		
quality_control_checkpoints	create_user	varchar		
quality_control_checkpoints	modify_date	timestamp		on update current_timestamp()
quality_control_checkpoints	modify_user	varchar		
quality_control_queue	qc_log_id	int	PRI	auto_increment
quality_control_queue	qc_display_method	enum		
quality_control_queue	lead_id	int	MUL	
quality_control_queue	status	varchar		
quality_control_queue	call_date	datetime		
quality_control_queue	agent_log_id	int	UNI	
quality_control_queue	user	varchar		
quality_control_queue	user_group	varchar		
quality_control_queue	campaign_id	varchar		
quality_control_queue	group_id	varchar		
quality_control_queue	list_id	bigint		
quality_control_queue	scorecard_source	enum		
quality_control_queue	qc_web_form_address	varchar		
quality_control_queue	vicidial_id	varchar		
quality_control_queue	recording_id	int		
quality_control_queue	qc_scorecard_id	varchar		
quality_control_queue	qc_agent	varchar		
quality_control_queue	qc_user_group	varchar		
quality_control_queue	qc_status	varchar		
quality_control_queue	date_modified	timestamp		on update current_timestamp()
quality_control_queue	date_claimed	datetime		
quality_control_queue	date_completed	datetime		
quality_control_scorecards	qc_scorecard_id	varchar	PRI	
quality_control_scorecards	scorecard_name	varchar		
quality_control_scorecards	active	enum		
quality_control_scorecards	passing_score	smallint		
quality_control_scorecards	last_modified	timestamp		on update current_timestamp()
recording_log	recording_id	int	PRI	auto_increment
recording_log	channel	varchar		
recording_log	server_ip	varchar		
recording_log	extension	varchar		
recording_log	start_time	datetime		
recording_log	start_epoch	int		
recording_log	end_time	datetime		
recording_log	end_epoch	int		
recording_log	length_in_sec	mediumint		
recording_log	length_in_min	double		
recording_log	filename	varchar	MUL	
recording_log	location	varchar		
recording_log	lead_id	int	MUL	
recording_log	user	varchar	MUL	
recording_log	vicidial_id	varchar	MUL	
recording_log_archive	recording_id	int	PRI	
recording_log_archive	channel	varchar		
recording_log_archive	server_ip	varchar		
recording_log_archive	extension	varchar		
recording_log_archive	start_time	datetime		
recording_log_archive	start_epoch	int		
recording_log_archive	end_time	datetime		
recording_log_archive	end_epoch	int		
recording_log_archive	length_in_sec	mediumint		
recording_log_archive	length_in_min	double		
recording_log_archive	filename	varchar	MUL	
recording_log_archive	location	varchar		
recording_log_archive	lead_id	int	MUL	
recording_log_archive	user	varchar	MUL	
recording_log_archive	vicidial_id	varchar	MUL	
recording_log_deletion_queue	recording_id	int	PRI	
recording_log_deletion_queue	lead_id	int		
