TABLE_NAME,COLUMN_NAME
server_updater,db_time
servers,server_id
servers,server_description
servers,server_ip
servers,active
servers,asterisk_version
servers,max_vicidial_trunks
servers,telnet_host
servers,telnet_port
servers,ASTmgrUSERNAME
servers,ASTmgrSECRET
servers,ASTmgrUSERNAMEupdate
servers,ASTmgrUSERNAMElisten
servers,ASTmgrUSERNAMEsend
servers,local_gmt
servers,voicemail_dump_exten
servers,answer_transfer_agent
servers,ext_context
servers,sys_perf_log
servers,vd_server_logs
servers,agi_output
servers,vicidial_balance_active
servers,balance_trunks_offlimits
servers,recording_web_link
servers,alt_server_ip
servers,active_asterisk_server
servers,generate_vicidial_conf
servers,rebuild_conf_files
servers,outbound_calls_per_second
servers,sysload
servers,channels_total
servers,cpu_idle_percent
servers,disk_usage
servers,sounds_update
servers,vicidial_recording_limit
servers,carrier_logging_active
servers,vicidial_balance_rank
servers,rebuild_music_on_hold
servers,active_agent_login_server
servers,conf_secret
servers,external_server_ip
servers,custom_dialplan_entry
servers,active_twin_server_ip
servers,user_group
servers,audio_store_purge
servers,svn_revision
servers,svn_info
servers,system_uptime
servers,auto_restart_asterisk
servers,asterisk_temp_no_restart
servers,voicemail_dump_exten_no_inst
servers,gather_asterisk_output
servers,web_socket_url
servers,conf_qualify
servers,routing_prefix
servers,external_web_socket_url
servers,conf_engine
servers,conf_update_interval
servers,ara_url
system_settings,version
system_settings,install_date
system_settings,use_non_latin
system_settings,webroot_writable
system_settings,enable_queuemetrics_logging
system_settings,queuemetrics_server_ip
system_settings,queuemetrics_dbname
system_settings,queuemetrics_login
system_settings,queuemetrics_pass
system_settings,queuemetrics_url
system_settings,queuemetrics_log_id
system_settings,queuemetrics_eq_prepend
system_settings,vicidial_agent_disable
system_settings,allow_sipsak_messages
system_settings,admin_home_url
system_settings,enable_agc_xfer_log
system_settings,db_schema_version
system_settings,auto_user_add_value
system_settings,timeclock_end_of_day
system_settings,timeclock_last_reset_date
system_settings,vdc_header_date_format
system_settings,vdc_customer_date_format
system_settings,vdc_header_phone_format
system_settings,vdc_agent_api_active
system_settings,qc_last_pull_time
system_settings,enable_vtiger_integration
system_settings,vtiger_server_ip
system_settings,vtiger_dbname
system_settings,vtiger_login
system_settings,vtiger_pass
system_settings,vtiger_url
system_settings,qc_features_active
system_settings,outbound_autodial_active
